Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ,
17.12,322.647003,471.277008,541.778015,590.838013,675.14801,829.995972,863.338989,1049.73999,1190.890015,
17.14,322.34201,468.302002,538.725952,595.758972,675.337952,830.377991,863.300049,1050.079956,1191.27002,
17.16,322.113007,465.021027,535.63501,600.413025,675.223999,830.338989,863.262024,1050.189941,1191.159912,
17.18,322.113007,461.893005,532.31604,604.265991,675.643982,830.416016,863.567017,1049.890015,1190.73999,
17.2,322.495026,458.763977,528.653992,608.005005,675.719971,830.605957,863.414978,1050.189941,1191.040039,
17.22,322.266022,455.597992,525.450012,610.903992,675.757996,830.721008,863.529053,1050.380005,1191.230103,
17.24,322.34201,452.661011,522.169006,613.536011,675.643982,830.453979,864.216003,1050.079956,1190.73999,
17.26,322.189972,449.455994,519.079041,615.367981,675.795959,831.063965,863.948975,1050.420044,1190.890015,
17.28,322.151978,446.365997,516.21698,617.007996,675.795959,830.987976,864.025024,1050.349976,1191.390015,
17.3,322.266022,443.542999,513.050964,617.961975,675.337952,831.179016,864.254028,1050.079956,1191.079956,
17.32,322.037018,440.453003,509.464966,618.190979,675.223999,831.330994,864.177979,1050.119995,1190.969971,
17.34,322.037018,437.325012,506.259979,618.305054,675.032959,831.330994,864.520996,1050.27002,1191.119995,
17.36,322.151978,434.845001,503.665985,618.114014,674.460999,831.255005,864.635986,1049.659912,1191.119995,
17.38,322.189972,432.097992,500.500031,617.198975,674.269958,831.559998,864.75,1049.579956,1190.77002,
17.4,322.151978,429.274994,497.485992,615.901978,674.231995,831.789001,864.979004,1049.469971,1190.700073,
17.42,322.53302,426.871979,494.43399,614.184998,673.773987,831.97998,865.093994,1049.23999,1190.73999,
17.44,322.571014,424.239014,491.572998,612.545044,673.659973,832.398987,865.131958,1049.130005,1190.890015,
17.46,322.571014,421.950012,488.520996,610.674988,673.964966,833.315002,865.360962,1049.090088,1191.079956,
17.48,322.952972,419.546997,485.736023,608.080994,674.38501,833.963989,865.779968,1048.969971,1190.930054,
17.5,323.258026,417.028992,483.218018,606.212036,674.803955,834.344971,865.932983,1048.630005,1190.930054,
17.52,323.296021,414.510986,480.356995,603.236023,675.414978,834.689026,865.856995,1048.320068,1190.700073,
17.54,323.487,412.221985,477.838989,600.299011,675.948975,834.802979,865.894958,1048.359985,1190.549927,
17.56,323.181976,410.200012,476.121979,597.552002,676.253967,834.612,866.008972,1047.829956,1190.359985,
17.58,322.914001,407.721008,474.824982,594.653015,677.32196,834.841003,865.971008,1047.869995,1189.859985,
17.6,323.181976,405.660004,474.673004,591.523987,677.779968,835.450989,866.046997,1047.640015,1190.01001,
17.62,323.220001,403.753021,475.665009,588.281982,678.008972,835.450989,865.932983,1047.75,1189.780029,
17.64,323.487,401.998016,477.763,585.152954,678.161987,835.412964,866.008972,1047.869995,1190.01001,
17.66,322.914978,399.824005,480.661987,582.024963,678.237976,835.870972,866.123962,1047.640015,1190.130005,
17.68,323.181976,397.610992,484.973022,578.667969,678.237976,836.099976,866.237976,1047.680054,1190.089966,
17.7,322.800018,395.931976,490.428009,575.463013,678.35199,835.908997,866.352051,1047.940063,1189.900024,
17.72,322.762024,394.406006,496.684998,572.106018,678.200012,835.986023,866.580994,1047.52002,1189.550049,
17.74,322.838013,392.460999,503.360992,568.252991,678.161987,836.138,866.542969,1046.949951,1188.869995,
17.76,322.838013,390.667999,510.419006,564.858032,678.008972,836.138,866.352051,1047.330078,1188.97998,
17.78,322.685974,389.256012,517.666992,561.730042,677.779968,835.908997,866.619995,1047.48999,1188.940063,
17.8,322.762024,387.692017,525.488037,558.296021,677.856018,835.757019,866.657959,1047.559937,1188.830078,
17.82,323.029022,386.356995,533.536987,554.938965,678.122986,836.023987,866.657959,1048.02002,1188.830078,
17.84,322.189972,384.335022,540.862,552.687988,677.932983,835.908997,866.848022,1047.75,1188.869995,
17.86,322.34201,382.923004,547.729004,551.085999,678.200012,835.986023,867.268005,1047.829956,1188.369995,
17.88,322.571014,381.244995,553.908997,549.86499,678.390015,836.138,866.809998,1047.940063,1188.410034,
17.9,322.72403,380.100006,560.280029,549.902954,678.619019,836.175964,866.886963,1047.680054,1188.300049,
17.92,322.876007,379.070007,565.77301,551.315002,678.580994,835.986023,867.000977,1047.709961,1187.650024,
17.94,323.258026,377.391998,571,553.336975,678.734009,836.062012,867.039001,1047.52002,1187.150024,
17.96,323.220001,375.750977,575.463013,556.617981,678.619019,835.986023,866.695984,1047.709961,1187.530029,
17.98,323.220001,374.911987,579.240051,560.776001,678.122986,835.870972,866.848022,1048.210083,1187.420044,
18,323.410004,373.843994,582.63501,565.31604,678.122986,836.099976,867.11499,1048.290039,1187.190063,
18.02,322.991028,372.509003,585.039001,570.083984,677.742004,836.062012,867.268005,1048.25,1187.420044,
18.04,322.762024,371.25,587.328003,574.853027,677.093018,835.641968,867.802002,1048.400024,1186.959961,
18.06,322.762024,370.182007,589.044983,581.03302,676.940979,835.986023,867.992981,1048.320068,1186.349976,
18.08,322.952972,368.998993,589.654968,586.182983,676.711975,835.94696,867.839966,1048.359985,1186.429932,
18.1,323.372009,368.235992,590.34198,591.485962,676.711975,835.986023,867.726013,1048.400024,1186.540039,
18.12,323.563019,367.664001,590.455994,596.484009,676.635986,835.794983,868.106995,1048.52002,1186.119995,
18.14,323.296021,366.710022,589.463989,601.367004,676.903015,835.908997,868.06897,1048.630005,1186.040039,
18.16,323.105011,365.527008,588.967957,605.716003,676.979004,836.252991,868.06897,1048.900024,1186.040039,
18.18,323.067017,364.535004,587.708984,609.455017,677.054993,836.138,868.14502,1048.939941,1186.079956,
18.2,322.838013,363.58197,586.565002,613.192993,677.550964,836.442993,868.373962,1048.969971,1186.119995,
18.22,322.609009,362.971008,584.695984,615.749023,678.276001,836.213989,868.794006,1048.900024,1186.01001,
18.24,322.647003,362.056,583.169983,617.771057,678.734009,836.213989,868.947021,1048.820068,1185.780029,
18.26,322.380005,361.21698,581.109985,619.640015,678.963013,836.023987,868.984985,1049.049927,1185.660034,
18.28,322.304016,360.492004,578.706055,621.356995,679.419983,836.442993,869.02301,1049.090088,1185.359985,
18.3,322.380005,359.766998,575.845032,621.700012,680.14502,836.175964,869.02301,1049.090088,1185.359985,
18.32,322.418976,358.812988,573.251038,621.700012,679.534973,836.175964,868.984985,1048.939941,1185.23999,
18.34,322.34201,358.316986,570.504028,622.044006,679.497009,836.367004,869.213989,1049.359985,1184.97998,
18.36,322.34201,357.897003,567.643005,621.624023,679.611023,836.099976,869.252014,1049.51001,1184.97998,
18.38,322.53302,356.981995,564.55304,620.593994,679.192017,836.709961,868.984985,1049.280029,1185.050049,
18.4,322.037018,356.027985,561.385986,619.487976,678.656982,836.825012,869.594971,1049.130005,1184.900024,
18.42,321.960999,355.609009,558.562988,617.885986,678.276001,836.557983,869.710022,1049.160034,1184.559937,
18.44,321.808014,354.730988,555.701965,615.978027,678.276001,836.633972,869.442993,1048.939941,1184.140015,
18.46,321.617004,353.891998,552.382996,613.91803,678.313965,836.786987,869.710022,1049.090088,1184.25,
